"CHEBI"	"prefLabel"	"altLabel"
"CHEBI:10607"	"n-propyl gallate"	"n-Propyl gallate"
"CHEBI:34370"	"4,4'-Methylenebis(N,N-dimethylaniline)"	"4,4'-Methylenebis(N,N-dimethylaniline)"
"CHEBI:34573"	"Bis(2-chloroethyl)ether"	"Bis(2-chloroethyl)ether"
"CHEBI:3484"	"cefclidin"	"Cefclidin"
"CHEBI:3484"	"cefclidin"	"7-{[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}-3-[(4-carbamoyl-1-azoniabicyclo[2.2.2]octan-1-yl)methyl]-3,4-didehydrocepham-4-carboxylate"
"CHEBI:52427"	"phenethicillin"	"6beta-(2-phenoxypropanamido)-2,2-dimethylpenam-3alpha-carboxylic acid"
"CHEBI:59111"	"3-pentadecylcatechol"	"3-Pentadecylcatechol"
"CHEBI:59111"	"3-pentadecylcatechol"	"3-pentadecylbenzene-1,2-diol"
"CHEBI:76154"	"flunoxaprofen"	"(2S)-2-[2-(4-fluorophenyl)-1,3-benzoxazol-5-yl]propanoic acid"
"CHEBI:77839"	"(1S,2R)-nortilidine"	"ethyl (1S,2R)-2-(methylamino)-1-phenylcyclohex-3-ene-1-carboxylate"
"CHEBI:8605"	"Pseudohypericin"	"Pseudohypericin"
"CHEBI:88333"	"dafadine O"	"{5-[(3-methoxyphenoxy)methyl]-1,2-oxazol-3-yl}[4-(pyridin-4-yl)piperidin-1-yl]methanone"
"CHEBI:90227"	"selumetinib"	"5-[(4-bromo-2-chlorophenyl)amino]-4-fluoro-N-(2-hydroxyethoxy)-1-methyl-1H-benzimidazole-6-carboxamide"
"CHEBI:9336"	"sulfathalidine"	"Sulfathalidine"
"CHEBI:9336"	"sulfathalidine"	"sulfathalidine"
"CHEBI:10058"	"Xanthatin"	"Xanthatin"
"CHEBI:28579"	"epsilon-caprolactam"	"azepan-2-one"
"CHEBI:28579"	"epsilon-caprolactam"	"epsilon-Caprolactam"
"CHEBI:28579"	"epsilon-caprolactam"	"epsilon-caprolactam"
"CHEBI:28898"	"P(1),P(5)-bis(5'-adenosyl) pentaphosphate"	"adenosine(5')pentaphospho(5')adenosine"
"CHEBI:50156"	"canrenoic acid"	"17beta-hydroxy-3-oxo-21a-homopregna-4,6-dien-21a-oic acid"
"CHEBI:64215"	"2,3-dimethoxynaphthalene-1,4-dione"	"2,3-dimethoxy-1,4-naphthoquinone"
"CHEBI:67135"	"2-nitroimidazole"	"2-nitro-1H-imidazole"
"CHEBI:67135"	"2-nitroimidazole"	"2-nitroimidazole"
"CHEBI:10072"	"xanthurenic acid"	"4,8-dihydroxyquinoline-2-carboxylic acid"
"CHEBI:10076"	"Xerantholide"	"Xerantholide"
"CHEBI:30805"	"dodecanoic acid"	"Dodecanoic acid"
"CHEBI:30805"	"dodecanoic acid"	"dodecanoic acid"
"CHEBI:36810"	"(trifluoromethyl)benzene"	"(trifluoromethyl)benzene"
"CHEBI:41308"	"benzophenone"	"Benzophenone"
"CHEBI:41308"	"benzophenone"	"benzophenone"
"CHEBI:41308"	"benzophenone"	"diphenylmethanone"
"CHEBI:43562"	"dihydrokainic acid"	"(3S,4R)-3-(carboxymethyl)-4-(propan-2-yl)-L-proline"
"CHEBI:50756"	"acridone"	"acridin-9(10H)-one"
"CHEBI:5328"	"Geraniin"	"Geraniin"
"CHEBI:5972"	"Irisolidone"	"Irisolidone"
"CHEBI:81337"	"cirsimaritin"	"5-hydroxy-2-(4-hydroxyphenyl)-6,7-dimethoxy-4H-1-benzopyran-4-one"
"CHEBI:15633"	"dihydrofolic acid"	"Dihydrofolic acid"
"CHEBI:15633"	"dihydrofolic acid"	"N-(4-{[(2-amino-4-oxo-3,4,7,8-tetrahydropteridin-6-yl)methyl]amino}benzoyl)-L-glutamic acid"
"CHEBI:1730"	"4'-demethylpodophyllotoxin"	"(5R,5aR,8aR,9R)-9-hydroxy-5-(4-hydroxy-3,5-dimethoxyphenyl)-5,8,8a,9-tetrahydrofuro[3',4':6,7]naphtho[2,3-d][1,3]dioxol-6(5aH)-one"
"CHEBI:31719"	"ipriflavone"	"7-isopropoxy-3-phenyl-4H-chromen-4-one"
"CHEBI:34142"	"11beta-Chloromethylestradiol"	"11beta-Chloromethylestradiol"
"CHEBI:41033"	"benzamidine"	"BENZAMIDINE"
"CHEBI:41033"	"benzamidine"	"Benzamidine"
"CHEBI:41033"	"benzamidine"	"benzenecarboximidamide"
"CHEBI:41330"	"ethyl propionate"	"ethyl propanoate"
"CHEBI:48032"	"4-methylene-D-glutamic acid"	"(2R)-2-amino-4-methylidenepentanedioic acid"
